,Unnamed: 0,내용,등록일
0,881,국민건강보험공단(이사장 정형근www.nhic.or.kr)은 ‘07년 8월 도입된 외래 본인부담 정률제 시행 전ㆍ후 진료이용 실적을 분석한 결과수진자 1인당 의원 및 약국 방문횟수가 소폭 감소하는 경향을 보였다고 밝혔다. 이는 외래 정률제 도입이 그간 꾸준히 증가하던 외래 방문일수를 줄이는데 기여한 결과라고 평가했다.의원·약국 1인당 방문횟수 변화의원·약국 1인당 방문횟수 변화 안내구분정액제('06.8.～'07.1.)정률제('07.8.～'08.1.)변화의원급계12.65일12.52일1.1% 감소의과6.24일6.24일1.4% 감소치과2.76일2.71일1.6% 감소한방4.66일4.53일2.6% 감소약국5.59일5.56일0.7% 감소정률제 도입 후 감기 환자 1인당 방문일수는 1.89일에서 1.78일로 5.3% 감소하였고총 진료비용도 20 800원에서 19 980원으로 820원 감소한 것으로 나타났다. 정률제 적용으로 본인부담금은 3 110원에서 3 300원으로 1인당 약 200원이 증원문보기,2009-01-02
1,878,보건복지가족부(장관 전재희)가 주최하고 (사)코피온국제워크캠프 등 11개 민간단체가 주관하는 “꿈과 사람속으로대한민국청소년 해외자원봉사단”이 새해 벽두부터 해외봉사 현장을 찾아 떠난다.이번 봉사단은 총 17개팀 310명으로 구성되어 동티모르 등 11개 국가에서 약 14일간 봉사를 겸한 국제교류활동을 펼치게 되며보건복지가족부는 봉사지역까지의 편도 항공료와 현지 봉사활동비 등 총경비의 50%상당을 지원하고 있다.주요 활동내용은빈민지역 학교 시설 개보수 및 교육환경 개선봉사예체능ㆍ한글ㆍ과학실험 교육봉사마을 공공시설 개보수 및 환경개선(벽화그리기)시설아동 돌보기지역 전통문화 및 역사유적지 탐방현지인과의 교류(홈스테이)다문화 체험한국문화 알리기 등이다.이번 파견단 선발은 지난 11월 10일부터 30일까지 참가자 신청을 받아 자기소개서와 활동계획서에 대한 서류심사 및 면접심사를 거쳐 이루어졌으며총 참가신청 인원은 2 000여명으로 최고 15:1의 높은 경쟁률을 보였다.한편‘09년 여름 봉사단은 4월 중 신청자를 모집하여 여름방학 중 파견할 계획이다.‘08년 해외자원봉사단 운영실적42개팀 716명(1∼2월 : 248명7∼8월 : 366명12월 : 102명)문의 : 아동청소년교류과 02-2023-8763～4,2009-01-02
2,877,’09년 2월 1일부터 노인장기요양보험 방문요양서비스를 도서·벽지지역에서 제공할 경우 요양보호사의 교통비(1일당 6 000원)가 방문요양 수가에 추가로 지급된다.이를 통해 요양보호사가 장거리 이동 등의 이유로 도서ㆍ벽지지역 방문요양 서비스를 기피하는 현상이 최소화될 것으로 기대된다.보건복지가족부는 이러한 내용 등을 담은 노인장기요양보험 급여종별 수가(’08.11.26 장기요양위원회 결정사항)와 급여기준 관련 고시가 ’08년 12월 31일자로 개정되어 ’09년 1월 1일부터(단원거리 교통비 관련사항은 2월 1일부터) 시행된다고 밝혔다.이 밖에 주요 개정사항은 다음과 같다.노인요양시설(단기보호시설 포함)이 기관의 정원을 초과하여 운영하거나시설 종사자가 법정 배치기준에 비해 미달하는 경우 수급자 전원에 대하여 최대 30%까지 수가를 감산하도록 하였다.정원 초과의 경우 일괄적으로 수가를 30% 감산하며종사자의 결원이 발생한 경우 결원 비율이 10%를 초과하거나 결원 인원이 5명 이상일 때 수가를 30% 감산하고결원 비율(또는 결원 인원)이 그 이하일 때는 수가 10% 감산이 적용된다.단단기보호의 경우 평균 종사자 수가 적다는 점을 감안‘결원 비율 30% 또는 결원 인원 3명 이상’일 때 수가 30% 감산그 이하일 때 수가 10% 감산이 적용됨복지부 관계자는 요양시설에서 정원을 초과하거나 인력기준을 미충족할 경우 노인 보호·안전문제서비스 질 저하 문제 등이 우려되기 때문에 이와 같은 규정들을 신설했다고 밝혔다.또한 노인들의 재가서비스 혜택을 늘리기 위하여 재가서비스 월 한도액과 복지용구 연간 한도액도 평균 7% 인상하였다.재가서비스 월 한도액재가서비스 월 한도액 안내구분1등급2등급3등급'08년1 097 000원879 000원760 000원'09년1 140 600원971 200원814 700원복지용구 연 한도액 : 1인당 연간 150만원 → 160만원재가서비스 월 한도액은 노인 1인당 월간 재가서비스 이용 가능액을 말하는 것으로한도액 범위 내에서 방문요양∣원문보기,2009-01-05
3,875,[기사 주요내용]지난해 12월 심평원은 직원들에게 정치후원금을 ‘자율납부’해 달라며 직원 1인당 연10만원씩을 의원들에게 후원하라고 독려하는 내용의 공문을 보냈다.[해명 내용]‘공문’으로 보도된 부분은 공문이 아니라 연말정산 관련 문의에 대해 편의를 주기 위해 일부 직원들이 개인적으로 주고 받은 e-mail임2008년 12월초 심평원 국회담당직원들은 연말정산과 관련하여 정치후원금에 대한 문의가 있자정치후원금(1인당 10만원 이내)을 내면 연말정산시 전액 세액공제 혜택을 받을 수 있다는 사실과후원금은 후원의사가 있을 경우 후원하고 싶은 국회의원에게 해당의원 홈페이지에 게재된 방법으로 하면 되고특별히 후원하고 싶은 의원이 없는 경우에는 보건복지가족위원회 위원 중에서 하면 된다는 사실을 각 부서 서무 담당자에게 알려 준 바 있음또한 12월 중순경후원의사가 있는 직원들의 편의를 위해 보건복지가족위원회 위원들 홈페이지에 게재된 후원계좌를 정리하여 각부서 서무담당자 개인 e-mail로 알려준 바 있음따라서기사 내용 중 “심평원이 직원들에게 후원하라고 독려하는 내용의 공문을 보냈다”“이 문건에는 특정부서 직원 이름과 후원하는 의원의 이름을 1대1로 지정해 놓은 ······· 적혀있다”“실제로 이번문건에는 온라인으로 입금할 때 후원자 이름 옆에 심평원 이름도 기입하라는 내용이 지침에 포함돼 있다” 는 내용은 사실이 아님건강보험심사평가원은 기사 내용 중 사실과 다른 부분에 대해 정정보도 요청 등 필요한 조치를 취할 예정임.* 문의 : ☎705-6038,2009-01-05
4,873,질병관리본부(본부장 : 이종구)는 2008년 12월 18일 인플루엔자 유행 주의보를 발표한 이후전국적으로 인플루엔자 의사환자가 크게 증가하고 있어 인플루엔자 예방을 위해 ‘손씻기’‘기침예절 지키기’ 등과 같은 개인위생 수칙을 지켜줄 것을 당부하였다.2008년 50주(’08.12.7~12.13) 이후 서울부산대구인천광주울산 등 대도시에서 인플루엔자 의사환자분율이 크게 증가하였으며 대부분의 지역에서 계속적인 증가 추세를 나타내고 있다.2008년 50주(’08.12.7-’08.12.13)의 인플루엔자 의사환자분율이 1 000명당 3.60명으로 유행기준 2.60명을 초과하여 2008년 12월 18일 유행 주의보를 발표함인플루엔자 의사환자(ILIInfluenza-like illness) : 38℃ 이상의 갑작스러운 발열과 더불어 기침 또는 인후통을 보이는 경우2008-2009절기 들어 9월 23일 부산에서 처음으로 인플루엔자 A/H3N2형 바이러스 분리가 확인된 이래12월 27일까지 총 815주(A/H1N1형 767주A/H3N2형 46주B형 2주)가 분리되었다.2008년 48주(’08.11.23~11.29) 이후 A형 인플루엔자 바이러스가 주로 분리되고 있어 최근 유행은 A형 바이러스에 의한 유행으로 판단된다.문의 : 질병관리본부 전염병감시팀인플루엔자바이러스팀 02-380-2662 02-380-2100,2009-01-05
5,865,보건복지가족부(장관 전재희)가 한국금연운동협의회와 공동으로 한국갤럽에 의뢰하여 2008년 하반기 성인흡연실태를 조사(2008. 12. 11~20)한 결과 만 19세 이상 성인흡연율이 2008년 6월 21.9%보다 0.4%P 상승한 22.3%로 조사되었다.이 중 성인남자는 40.9%성인여자는 4.1%로 6개월 전보다 각각 0.5%P와 0.4%P 높아진 것으로 나타났다.(표본오차 ±1.8%95% 신뢰수준)보건복지가족부는 간접흡연으로부터의 폐해를 예방하고 흡연자의 금연을 유도하기 위해 2009년도 상반기에 공청회 등을 통한 의견수렴을 거쳐 중장기 금연종합대책을 수립하여 추진해 나갈 계획이다.문의 : 건강증진과 02-2023-7831,2009-01-06
6,866,2008.1.6일자 한국일보의 “올해는 완전고용 시대” 기사에 대해 다음과 같이 해명합니다.[기사 주요내용]복지부가 상반기 중 64만명 조기 취업을 추진복지부 관계자는 “64만명은 상반기 투입 예산 114조원에 취업유발계수를 감안해 산출된 수치일 뿐”이라고 말했다.[해명 내용]기사 내용은 복지부와는 무관하며기자로부터 확인 결과 행정안전부 관련 내용을 잘못 보도한 것으로 확인되었습니다.* 문의 : 홍보담당관실 2023-1017,2009-01-06
7,869,2009.1.5일자 중앙일보의 “위기 상황 반영 안 된 사회서비스 일자리고작 1만 4천개 늘려” 기사 중 사실과 다른 부분에 대해 다음과 같이 해명합니다.[기사 주요내용]지난해는 도봉구 생활관리사 24명이 관내 독거노인 110여명을 돌봤지만 올해는 오히려 6명이 줄었으며이는 동사무소가 예산 문제로 사람을 줄였기 때문임[해명 내용]지난해의 경우 도봉구 노인종합복지관 소속 생활관리사 23명이 722명의 독거노인을 돌보았음방문횟수돌봄시간 등을 고려하여 업무지침상 생활관리사 1인당 22명 이상 돌보도록 의무화하고 있음'09년에도 도봉구의 독거노인생활관리사는 23명으로 '08년과 동일'08년말 4명이 퇴직하였으나'09년 신규 선발 예정임참고 : '09년 독거노인생활관리사는 '08년 5 230명에서 205명 증가한 5 435명아울러경제위기로 인해 생활고를 겪는 독거노인에 대한 보호를 강화하기 위하여 독거노인 1:1 결연시스템 구축노인돌보미의 통합을 통한 맞춤형서비스 제공 등 다양한 제도 보완을 추진하고 있음* 문의 : 보건복지가족부 노인지원과 (02-2023-8167),2009-01-06
8,863,보건복지가족부(장관 전재희)는 올해 1월부터 ‘장애아동 재활치료 사업’을 전국 1만 8천명 장애아동을 대상으로 본격 시행한다.그동안 장애아동을 양육하는 저소득가정은 높은 재활치료 비용으로 인해 경제적 어려움을 겪어 왔으며 동 사업으로 이들 가정의 경제적 부담이 경감될 것으로 기대된다.* 장애아동 재활치료 사업은 만 18세 미만의 뇌병변지적자폐성청각언어시각 장애아동을 대상으로 언어치료청능치료미술ㆍ음악치료놀이치료 등의 서비스를 제공하는 사업으로전국가구평균소득 50%이하 가구*와 현재 장애아동수당 수령자이면 신청 가능하다.장애아동 재활치료서비스 신청 가능한 건강보험료(노인장기요양보험료 제외) 고지액장애아동 재활치료서비스 신청 가능한 건강보험료(노인장기요양보험료 제외) 고지액 안내가구원수소득기준직장가입자건강보험료 본인부담금(원)지역가입자혼합(직장+지역)1인633천원17 2708 32017 7802인1 182천원30 07020 39030 4803인1 688천원43 18038 71044 0204인1 956천원50 09048 09050 8005인2 019천원<원문보기,2009-01-07
9,861,국민연금공단(이사장 박해춘www.nps.or.kr)은 오는 1월 8일(목) 저소득 장애인을 위해 컴퓨터 1 600여대를 장애인단체에 기증한다.기증식은 한국장애인단체 총연합회와 한국장애인단체 총연맹의 신년인사회에 맞춰 각각 진행되며공단에서는 기획이사와 업무이사가 참석한다.이번 행사는 저소득ㆍ소외계층과의 연대의식을 공유하기 위한 것으로앞으로도 공단은 공공기관으로서 지속적인 나눔경영을 실천할 예정이다.아울러 공단은 작년 7월부터 시행해 온 장애인복지 인프라개편 모의적용사업의 수행성과를 바탕으로 장애인의 만족도를 극대화하는 수요자중심의 맞춤형 복지 실현을 위하여 최선의 노력과 역량을 집중해 나갈 계획이다.문의 : 2240-1272,2009-01-07
