,내용,등록일
1520,전국 인공임신중절 변동 실태조사제1장 서론제I절 연구의 배경 및 필요성제2절 연구의 목표제2장 연구의 방법제1절 연구수행체계제2절 인공임신중절 실태조사의 방법론적 고려사항제3절 연구 진행 과정제4절 연구윤리심의위원회(IRB)의 심의제5절 본 연구의 조사방법제3장 연구의 결과제1절 가임기 여성 대상 조사제2절 산부인과 의사 대상 조사제3절 인공임신중절 경험여성 심층면접조사제4절 전문가 심층면접조사제4장 외국의 인공임신중철 관련 법정책 동향제1절 세계적 현황제2절 개별국가의 현황제5장 우리나라 인공임신중철 관련 법·정책 제언제1절 아젠다 전환: “인구통제정책”에서“성보건?생식보건 정책”으로제2절 원치않는 임신 : 인공임신중절 예방 정책의 초점제3절 피임: “원치않는 임신”예방의 초첨제4절 정기적 조사 및 생식보건 데이터의 필요성제5절 인공임신중절의 근본적 해결책제6절 임신출산육아 환경개선을 위한 정책,2012-01-02
1507,보건복지부는 공공보건의료에 관한 법률 전부개정안 등 복지부 소관 6개 법안이 12월 30일 열린 국회 법제사법위원회를 통과했다고 밝혔다. 법률안별 주요 개정내용은 다음과 같다.공공보건의료에 관한 법률 전부개정법률안은 공공보건의료 체계를 기능 중심으로 개편하고공공보건의료 수행기관을 민간까지 확대하며필수 보건의료서비스 강화를 위한 의료취약지 및 공공전문진료센터 지정 등을 내용으로 하고 있다.[공공보건의료에 관한 법률 개정안 주요내용]‘공공보건의료’ 등에 관한 정의공공보건의료에 관한 정의를 국․공립 ‘설립 및 소유’의 관점에서 ‘기능’관점으로 재정의함(안 제2조제1호)공공보건의료 수행기관을 정의하여 민간의료기관이라 하더라도 법률이 정하는 공공보건의료 기능을 수행할 수 있도록 함(안 제2조제4호)공공보건의료 기본계획의 수립국가 차원에서 공공보건의료에 대한 체계적인 계획을 수립하고 시행할 필요가 있어 5년마다 공공보건의료 기본계획을 수립하도록 함(안 제4조)의료취약지의 지정ㆍ고시 및 의료취약지 거점의료기관의 지정주기적으로 국민의 의료 이용 실태 및 의료자원의 분포 등을 평가하고 의료서비스의 공급이 현저하게 부족한 지역을 의료취약지로 지정ㆍ고시할 수 있도록 함(안 제12조)시ㆍ도지사는 의료취약지에 있는 의료기관을 의료취약지 거점의료기관으로 지정하여 지원할 수 있도록 함(안 제13조)공공전문진료센터의 지정수익성이 낮아 공급이 원활하지 않은 전문진료 분야나 지역별 공급의 차이가 커서 국가의 지원필요성이 있는 전문진료 분야 등에 대하여 공공전문진료센터를 지정ㆍ지원할 수 있도록 함(안 제14조)의료취약지 거점의료기관 등의 지정취소 및 청문의료취약지 거점의료기관 또는 공공전문진료센터의 지정취소사유를 정하고취소된 날로부터 2년간 재지정 금지 (안 제18조)의료취약지 거점의료기관 또는 공공전문진료센터의 지정을 취소하려면 청문을 하여야 함 (안 제19조)공공보건의료 지원센터 및 공공보건의료 지원단의 설치 근거 마련공공보건의료 지원센터를 설치하여 공공보건의료 수행기관에 대한 기술 지원공공보건의료 인력에 대한 교육ㆍ훈련 프로그램의 개발ㆍ보급 등에 대한 지원을 하도록 함(안 제21조)시ㆍ도에서의 지원업무 수행을 위하여 시ㆍ도지사는 공공보건의료 지원단을 설치할 수 있도록 함(안 제22조)국민기초생활 보장법 일부개정법률안은 기존 시․도 단위로 운영되고 있는 광역자활센터의 법적 근거를 마련하고중앙자활센터와 광역자활센터의 기능을 확대하도록 하였다.이와함께 자활공동체의 명칭을원문보기,2012-01-02
1509,보건복지부(장관 임채민)는 1월 2일 연말연시를 맞아 복지부 직원들이 적립한 기부금으로 독거노인들에게 내복 5 000벌(3 500만원 상당)을 지원하였다.임채민 장관과 복지부 재능나눔은행 홍성진 부행장은 1월 2일 대한노인회를 방문한 자리에서 복지부 직원들의 기부를 통해 조성한 3 500만원의 재능나눔은행 적립금을 전달하였다.이날 전달된 금액은 대한노인회를 통해 전국 5 000명의 독거노인에게 겨울내복을 지원하기 위한 비용으로 사용된다.보건복지부는 지난해 1월에도 재능나눔은행 적립금으로 쪽방촌 거주 주민 3 312명에게 내복을 지원한 바 있다.임채민 장관은 “보건복지부 재능나눔은행의 적립금은 지난 한 해 동안 복지부 직원들의 따뜻한 마음들이 모이고 쌓인 결과물”이라며“홀로 외롭게 사시는 어르신들께서 전달받은 내복으로 올 겨울을 따뜻하게 보내시길 바란다”고 밝혔다.[보건복지부 재능나눔 은행]복지부가 나눔의 주무부처로서 솔선수범하고직원들의 외부강의료·회의수당을 보다 바람직한 곳에 사용하자는 취지로 지난 ’10.12.16. 공식출범복지부 직원들의 외부강의료․회의수당 등의 기부를 통해 기금을 조성(’11년까지 누적 기부금 7 200여만원)하고직원들의 의견을 모아 소외계층 지원 사업 수행,2012-01-02
1511,2012년 1월 2일(월) 14시 보건복지부 지하 대강당에서는 부드러운선율이 들려온다.이 선율의 주인공은 바로 ‘뷰티플마인드’ 장애인 앙상블 다섯 명의 친구들이다.김준희(14세/바이올린/발달장애)배성연(16세/피아노/발달장애)김민주(12세/첼로/시각장애)김태욱(10세/가야금/시각장애)허지연(21세클래식기타/시각 및 지적 복합장애)보건복지부가 이렇게 특별한 시무식으로 한해를 시작하는 것은장애가 전혀 장애가 되지 않고 훌륭히 연주를 하는 친구들의 공연을 보면서 그들의 노력과 정성의 열정을 배우고서로의 음색에 귀 기울이며 하모니를 만들어 내듯 2012년 한해는 더욱 열린 귀와 마음으로 국민과 소통하고자 하는 마음에서다.또한 이날 시무식에서 보건복지부 직원들은 장애인 앙상블 ‘뷰티플마인드’의 음악 교육 및 활동을 응원하기 위해 대강당 한 켠에 마련된 기부함에 작은 정성을 표한다.뷰티풀마인드는 음악 전공자들의 재능 나눔으로 장애인과 차상위 계층아동에게 무료로 음악 교육을 실시하고 자선 공연을 진행하는 문화외교 자선단체임보건복지부 장관(임채민)은 “이렇게 따뜻한 공연과 나눔으로 시작하는 2012년은 보건복지부 직원들 모두가 더욱 열정을 갖고 소통과 나눔을 실천하고보건복지부의 정책이 더욱 내실을 갖추어 국민들께 미래에 대한 희망을 제시할 수 있는 원칙과 믿음이 있는 정책을 펴는 한 해가 되자.”고 당부한다.2012년에 보건복지부는 장애아동복지지원법을 제정․시행(‘12.8.5)하고 더불어 발달장애인 생애주기별 지원 방안을 마련하는 등 그 동안 소외되었던 장애 아동과 발달장애인에 대한 지원을 강화할 계획이다.[참고]뷰티플마인드 공연 순서뷰티플마인드앙상블 단원 소개,2012-01-02
1514,보건복지부(장관 임채민)와 질병관리본부(본부장 전병율)는 ‘필수 예방접종’에 대한 지원을 올해부터 대폭 확대한다고 발표했다.1월부터 감염병 예방을 위해 모든 어린이가 받아야 하는 필수 예방접종 비용지원이 대폭 상향되어 예방접종비의 본인부담금이 1만5천원에서 5천원으로 낮아진다.의료기관 1회 접종에 평균 2만2천원씩 하는 예방접종비 중 1만7천원을 정부예산으로 지원해백신종류에 상관없이 1회 접종에 5천원만 본인이 부담하면 된다.’09년부터 의료기관 예방접종비중 백신비(7천원)를 지원해 왔으며이를 통해 필수예방접종비가 지원되는 의료기관이 전국 253개 보건소에서(보건소는 무료접종) 전국 7천여 곳의 병의원으로 점차 확대되어 왔다.※ 소아청소년과 의원 2 300곳 등 전국 지정의료기관 총 6 975개소(보건소 포함12.28일 기준)한편 올해부터필수예방접종의 실효성을 높이고예방접종 비용 절감을 위해 신규백신 2종(DTaP-IPV 콤보백신Tdap)을 국가필수예방접종 항목으로 추가 도입한다. (8종→10종)보건소 및 지정의료기관에 신규 도입될 백신은 최근 청소년과 성인에서 감염 환자가 증가하고 있는 ‘백일해’ 예방성분이 강화된 Tdap(청소년 및 성인용 디프테리아파상풍백일해) 백신과4종의 감염병(디프테리아·파상풍·백일해 및 폴리오)을 한 번 접종으로 모두 예방할 수 있는 DTaP-IPV 콤보백신이다.콤보백신으로 접종하면 기존 DTaP(디프테리아·파상풍·백일해)IPV(폴리오) 백신을 따로따로 받을 경우 모두 8회였던 접종 횟수가 절반(4회)으로 줄게 된다.또한올해부터는 자녀 예방접종을 놓치는 일이 없도록 출생신고시부터 예방접종 전산등록을 실시해 보호자와 의료기관이 어린이 예방접종을 통합적으로 관리할 수 있도록 시스템을 정비하였다.한편 정부는지난해부터 자녀 예방접종일을 보호자 휴대전화 문자(SMS)로 안내하고 있으며접종기록 온라인·모바일(스마트폰 등) 확인 및 ‘예방접종 증명서(취학유학시 필수 증빙자료)’ 온라인 발급 서비스를 제공해 보호자 편의향상에 노력해 왔다.[주요 예방접종 편의 서비스]예방접종 사전알림 SMS서비스온라인모바일 예방접종 기록확인접종 증명서 온라인무료발급전병율 질병관리본부장은 “이번 「필수예방접종 국가지원 사업」의 확대시행은 ‘어린이 감염병 예방은 정부에서 책임지고 관리하겠다’는 의지를 보여주는 것으로단순히 지원 비용만 늘리는 것이 아니라 젊은 부모들이 편리하게 자녀 예방접종을 받을 수 있도록 서비스 체계를 보호자 편의에 맞추는데 정책 초점을 두고 있다”고 밝히고“신규 백신도입과 예방접종 정부지원 확대로 우리 어린이들이 더 건강해질원문보기,2012-01-02
1515,보건복지부(장관 임채민)는 ｢약제의 결정 및 조정 기준｣ 고시가 시행되는 것을 비롯해 아이사랑카드 사업수행 금융기관 변경외래처방 인센티브제도 확대시행 등이 1월 1일부터 새롭게 적용된다고 밝혔다.보건복지부(장관 임채민)는 12.30일 ｢약제의 결정 및 조정 기준｣(보건복지부 고시 제2011-176호) 및 약가재평가를 위한 세부사항을 공고하였다. 이번 고시 및 공고는 지난 8월 12일 발표한 계단식 약가제도 폐지 및 동일효능 약제 동일가 원칙과 기등재 의약품의 재평가의 시행을 위한 것이다.이에 따라 고시의 주요 내용은 특허만료 오리지널 의약품과 제네릭의 가격을 53.55%로 동일하게 하며이러한 가격 원칙을 기등재 의약품에도 적용한다는 것이며장관 공고는 기준가격 결정 시점 및 조정비율 적용 방법 등 약가 재평가의 세부기준을 담고 있다.동 고시 및 공고의 시행일은 2012년 1월 1일이다.'12년 1월1일부터 아이사랑카드 사업 수행 금융기관이 신한카드에서 KB국민카드하나Sk카드우리은행으로 구성된 KB컨소시엄으로 교체된다.부모님들은 KB컨소시엄 3개사 외 우체국새마을금고경남/광주은행 등의 지점을 통해서도 카드를 신청할 수 있으며 3개사의 카드 중 희망하는 것을 선택할 수 있다.또한기존에 신한카드에서 발급한 아이사랑카드를 이용하는 부모님들은KB국민카드하나SK카드우리카드를 보유하고 있는 경우 추가적인 카드 발급 없이 기존 카드를 ‘아이사랑카드’로 전산상 등록하고 어린이집에서 결제하면 보육료를 지원할 수 있도록 하고3사에서 발급한 카드가 없거나 어린이집 졸업 연령이 얼마 남지 않은 경우 등 전환등록이 불편하거나 불가능한 대상자를 위하여는 1년간 기존 신한카드의 결제가 가능하도록 하였다.한편카드 결제수수료율이 기존 0.36%에서 KB컨소시엄이 제안한 0.01%로 낮아짐에 따라 관련 예산을 절감할 수 있게 되었다.약품비를 절감한 의원에 인센티브를 제공하는 「외래처방 인센티브 제도」가 1월 1일부터 병원급 이상으로 확대하여 시행된다.* (제도개요) 의사가 비용효과적인 약을 처방하거나 약품목수를 적정화하는 방법 등으로 약품비를 절감하면 절감액의 일부를 해당 병·의원에 인센티브로 돌려주는 제도로 '10년 10월부터 의원을 대상으로 시행적용대상은 현행 의원에서 모든 병·의원으로 확대(요양병원 제외)된다. 인센티브 지급률도 현재 약품비 절감액의 20%~40%에서10%~50%로 조정한다.약품비 증감여부는 의원의 경우에는 현행과 마찬가지로 환자당 약품비로 평가를 하나병원급의 경우 환자 영역이 다양하고접근성이 떨어져 투약일수 감소를 요구하기 어려운 점을 감안 투약일당 약품비로 평가를 한다.건강검진 관련 제도들 역시 새해부터 달라진다. 영유아 검진 시 난이도 가산점이 적용되어 병의원의 진찰료 수가가 인상된다. 이로인해 진찰 수가가 인상되어 검진기관들의 검진 기피현상이 완화되어 영유아 검진 접근성이 높아질 수 있을 것으로 기대된다.* 영유아 검진은 성장·발달검사 및 상담·교육이 주로 실시되어 일반 진료 보다 시간이 많이 소요됨에도 진찰료 수가가 낮아 일선 검진기관들의 검진 기피또한 건강검진 결과 활용동의서 서식이 정보수집 목적사용기관수집항목 및 활용기간 등을 명확히 하고정보를 활용한 건강관리 사업 범위 등을 구체적으로 기술하도록 개선된다.,2012-01-02
1517,보건복지부(장관 임채민)는 위기임신사회적 노출기피 등으로 산전관리를 받지 못하는 청소년산모가 건강하고 안전하게 출산할 수 있도록 지원대상을 확대하고‘맘편한카드‘를 ’12년1월2일부터 도입한다고 밝혔다.기존에는 만18세이하로 미혼모자시설에 입소한 산모에 대해 지원 하였으나’12년1월부터 모든 산모로 확대해서 지원하게 된다.※지원대상:만18세이하로 미혼모자시설 입소산모(’11)→만18세이하 모든 산모(’12)보건복지부는 산모가 임신출산 진료를 편리하게 받도록 돕기 위해 우리은행과 협력하여 ‘맘편한카드’를 도입하여 시행한다.‘맘편한카드’는 우리은행 홈페이지를 통해 간편하게 인터넷으로 신청하여 발급 받을 수 있다. 제출서류는 산부인과 병․의원에서 발급한 ‘임신확인서’와 ‘주민등록등본’을 우리은행에 우편으로 보내면 된다.※ 인터넷 신청절차 : ①우리카드 사이트(card.wooribank.com) → ②(좌측상단) 기업카드 클릭→③바로바로서비스(‘맘편한카드신청’) 클릭※ 제출서류 발송처 : 서울특별시 중구 회현동1가 203번지 우리은행 본점영업부(맘편한카드 담당자 앞)지원대상자는 ‘맘편한카드’를 받은날부터 분만예정일 이후 60일까지 의료비지원 요양기관으로 등록된 산부인과 병․의원에서 사용할 수 있다.※발급 소요기간:원칙적으로 우리은행이 제출서류를 받은날로부터 15일이내사용금액은 임신 1회 당 총 120만원 범위(1일 10만원 이내 사용)내에서 임신과 출산 전․후 산모의 건강관리와 관련된 의료비(산전검사출산 및 산후진료 등)로 사용 할 수 있다.※ 분만의 경우 예외적으로 잔액 범위 내에서 필요한 의료비 결제 가능맘편한카드는 보조금이 지급되는 카드 형태로 만들어져 있어서 산모가 ‘맘편한카드’로 임신.출산 의료비를 결제하면전담 금융기관인 우리은행에서 산부인과 병.의원으로 결제금액을 우선 입금하고그 다음 달에 전월 결제금액을 시.군.구별 보건소에 청구하면 보건소는 청소년산모가 결제한 의료비를 우리은행 결제계좌에 입금하게 된다.‘맘편한카드’는 ‘고운맘카드’와 별도로 발급하여 사용할 수 있으며이용가능한 산부인과 병.의원은 우리카드 사이트(card.wooribank.com) 에서 확인하면 된다.또한‘맘편한카드’는 만18세이하 산모의 임신․출산 의료비지원 전용카드이므로 신용카드체크카드현금카드 기능 및 부가서비스 기능은 없다.이와 관련하여 동 사업의 원활한 추진과 협력을 공고히 하기 위해 보건복지부 장관(임채민)과 우리은행 행장(이순우)이 참석한 가운데 ‘11년12월28일 ‘맘편한카드’ 도입 업무 협약을 체결하였다.※ 붙임2 : 맘편한카드 업무 협약식 내용 참조복지부는 “우리은행이 사회공익적 차원에서 참여하여 ‘원문보기,2012-01-02
1502,1월 3일자 한겨레신문 12면 “박근혜 복지법 지방복지 발목잡기 논란” 기사와 관련하여 아래와 같이 개정 법령의 취지를 알려드립니다.기사 주요내용보건복지부장관과사전협의는 지방자치단체 복지정책에 대한 발목잡기지자체가 일정 정도 자율권을 가졌던 복지제도에 국가가 관여할 수 있는 범위가 늘어나고지자체의복지정책의 신설ㆍ변경시 엄격하게 조정설명내용“지자체장의 사회보장 지역계획 수립ㆍ시행”에 대하여개정 사회보장기본법 제16조에 따라 수립되는사회보장기본계획은복지부장관이 수립하여사회보장위원회＊와국무회의 심의를 거쳐 마련하고개정 법 제19조의“사회보장에 관한 지역계획”＊＊은 관계법령이 정하는 바에 따라지방자치단체장이 지역 주민의 복지증진을 위해자율적으로 수립ㆍ시행하는 사회보장에 관한 계획으로 복지부장관과 사전협의 대상으로 하고 있지는 않음※ 국무총리 소속의 위원회로 위원장(국무총리)을 포함한 30인 이내의 민ㆍ관위원으로 구성※※ 사회복지사업법 제15조의 3 내지 6의 ‘지역사회복지계획’지역보건법 제3조 내지 제6조의 ‘지역보건의료계획’ 등을 포괄하는 개념“지자체가 일정 정도 자율권을 가졌던 복지제도에 국가가 관여할 수 있는 범위가 늘어난 것”에 대하여개정 사회보장기본법은“지방자치단체의 정책자율성 존중”에 기초개정 사회보장기본법은국가와 지방자치단체가 “사회보장제도 신설ㆍ변경시상호협력하여 사회보장 급여가 중복․누락되지 않도록”규정하고 있으며(제26조제1항)“중앙행정기관 및 지자체”의 사회보장제도 신설ㆍ변경시 제도의 타당성 및 기존 제도와의 관계 등에 대해 복지부장관과 협의하도록 하고 있음(제26조제2항)이는 지자체의 정책자율성에 대한관여를 확대한 것이 아닌 중앙-지방정부 간 협의와 협력을 강화하여 보다 효율적이고 성과 높은 복지서비스가 제공되도록 하고자 하는 규정임“지자체 복지정책의 신설ㆍ변경시 더욱 엄격하게 조정”에 대하여제26조제2항에 의한 복지부장관과의 사전 협의ㆍ조정 대원문보기,2012-01-03
1503,보건복지부는 자율형 어린이집 시범사업 중단은 부모․전문가 의견지자체 건의현장 여건 등을 종합적으로 고려하여 결정한 사항임을 밝힘☞ 1월 3일자 한국일보 “귀족형 반발 부른 자율형 어린이집 사업 중단” 기사 관련기사 주요내용보건복지부 임채민 장관은 보육양극화를 심화시킬 우려가 있는 자율형 어린이집 사업 전면 중단을 지시한 것으로 확인되었다.복지부 관계자는 “장관께서 9월에 부임한 이후 정책들을 점검하시면서 자율형 어린이집 사업에 문제가 있다고 판단해 지난해에 사업 중단 지시가 내려졌다”고 설명함설명내용당초 자율형 어린이집 시범사업은부모의 수요에 맞춘다양하고 특성화된보육서비스를 제공할 수 있는 어린이집운영 모형을모색하기 위해 추진하였음희망하는민간 어린이집의 신청을 받아 평가인증 점수보육교직원의 수준 등 일정한 선정기준에 따라선정되면보육비용과 보육내용에 있어제한된 자율성을 부여받는 것으로 ‘12년 3월부터 3년간 시범사업으로 실시할 예정이었음* 현행 보육료와 필요경비의 1.5배 범위 내에서 시ㆍ도가 정하는 비용을 받을 수 있음‘11년도에는수도권(서울인천경기) 및광역시에서 희망하는 어린이집의신청ㆍ접수를 받아 선정을 하고 어린이집 자체 준비를 거쳐’12년 3월부터 시작할 예정이었음그러나실제 사업 추진과정에서 시․도별로희망하는 어린이집의신청이 미미(8개소)하였고신청한 어린이집의수준도 보육비용에 비해높지 않은 것으로 평가되는 등사업의실효성이 부족할 것이라는부모전문가지자체 등 현장의 의견이 폭넓게 제기되었음이에현장의 의견을 두루 수렴하고 보편적 보육이 강조되는 정책 여건을 고려하여실무진에서 사업 추진중단을 건의함에 따라 결정한 사안임한편‘11년 7월부터 추진하고 있는공공형 어린이집 사업은 ’11년 12월말 현재 678개소가 선정되어 운영중에 있음사업 추진 상황에 대한 평가결과부모 만족도가 매우 높은것으로 나타나는 등 사업에 대한평가가 긍정적으로향후연차적으로 사업을 확대해 나갈 계획임원문보기,2012-01-03
1505,"2012년 새해 보건복지부 예산안이 12월 31일(토) 국회 본회의 의결을 통해 최종 확정되었음국회 심의 과정에서 48개 사업 4 654억원 증액되고 10개 사업 △1 180억원이 감액되어 3 474억원이 순증됨[증감 내역 및 주요사업]증감 내역 : 순증 3 474억원(증액 4 654억원(48건)감액 △1 180억원(10건))예산(일반회계) : 증액 4 573억원(38건)감액 △133억원(5건)기금 : 증액 81억원(10건)감액 △1 047억원(5건)* 건강증진기금 : 증액 81억원(10건)감액 △5억원(1건) 국민연금기금 : 감액 △1 042억원(4건)주요 증액사업영유아 보육료 +3 698억원 → 0~2세 모든 계층 지원어린이집 지원 +55억원 → 교사겸직 원장 시설환경개선비방과후돌봄서비스 +20억원 → 지역아동센터 운영비 인상(400→410만원/월)노인단체지원 +300억원 → 경로당 난방비(270억원)경로당지원 광역센터(30억원)노인돌봄서비스 +58억원 → 종합돌봄서비스 수혜자 확대(28→31천명)권역별 전문질환센터 +110억원 → 전남대 45억원충남대 45억원대구카톨릭대 20억원주요 감액사업공공사회복지전달체계 개선 △98억원 → 채용일정 지연으로 3개월 인건비 감액민간사회복지자원 육성 지원 △24억원 → Korea Hands나눔인프라 구축 등 감액이에 따라 ‘12년 복지부 총지출 규모는 당초 정부안(36조 3 454억원) 대비 3 474억원 증가하였으며’11년 대비(33조 5 694억원) 3조 1 234억원(9.3%)이 증가한 36조 6 928억원으로 확정되었음(회계별) 예산은 ‘11년대비 1조 4 893억원(7.2%) 증가한 22조 1 815억원기금은 ‘11년대비 1조 6 341억원(12.7%) 증가한 14조 5 113억원(분야별) 사회복지분야는 ‘11년대비 2조 7 980억원(10.6%) 증가한 29조 973억원보건의료분야는 ‘11년대비 3 254억원(4.5%) 증가한 7조 5 955억원[2012년 보건복지부 예산 및 기금운용계획]원문보기목록으로페이지 만족도 조사만족도 평가이 페이지에서 제공하는 정보에 얼마나 만족하십니까?매우만족만족보통불만족매우불만족등록정부24 개선의견일반적이고 원론적인 의견, 단순건의 사항이 아닌 정부24에서 제공하는개별서비스에 관한 창의적이고 구체적인 제도개선에 대해 의견을 주시는 국민 소통 창구입니다.의견을 주시면 소관 부처와 연계 개선해 나가겠습니다.국민 신문고법령, 제도, 절차 등 행정업무에 관한 질의 또는 설명이나 해석의 요구는 국민신문고를 이용해 ",2012-01-03
